"","code_insee","commune","code_region","region","code_departement","departement","pop_total","pop_unemployment","pop_executive","pop_employment","pop_worker","pop_no_degree","pop_degree","unemployment","farming","executive","employment","worker","student","no_degree","degree","rent","maison","home","caneva"
"1","01004","Ambérieu-en-Bugey","84","Auvergne-Rhône-Alpes","01","Ain",14204,1034.21865791789,770.523837562505,1874.44298514405,1997.61517619971,2219.35504527932,658.973087808749,14.9340083477471,0.0402880262499752,11.1262829520623,27.0667590196769,28.8453524683184,38.8948269587619,21.5162586440459,6.38862872658311,56.0526417114389,42.8828694882521,56.6580145945451,"sud"
"2","01007","Ambronay","84","Auvergne-Rhône-Alpes","01","Ain",2763,103.660573476702,207.215053763441,365.093189964158,340.491039426523,286.154121863799,146.037275985663,7.61207233038696,1.08688242535201,15.2163539549282,26.8097664920163,25.0031649742499,31.2056737588652,14.3842493757552,7.34092726762682,25.9195893926432,84.6877673224976,15.1411462788708,"sud"
"3","01014","Arbent","84","Auvergne-Rhône-Alpes","01","Ain",3356,208.642472868304,89.8970867206529,320.701909162719,580.826356251347,881.094678563618,82.1623132786829,14.0248972819552,0,6.0428607362222,21.5575058726088,39.0430091873925,33.5101006165157,35.1446392769694,3.2772469662943,37.5910522051317,65.9131929493592,32.8248004901678,"sud"
"4","01024","Attignat","84","Auvergne-Rhône-Alpes","01","Ain",3196,110.143200559395,185.011845701575,449.08858233238,357.673438731423,372.056166048035,100.062043092664,6.87274812745113,0.628810721240844,11.5444240737865,28.0223626842962,22.3182134148608,35.7598354340623,16.3110308784374,4.38674378651006,25.4745567702987,83.1475699291543,16.7025663559105,"sud"
"5","01025","Bâgé-Dommartin","84","Auvergne-Rhône-Alpes","01","Ain",4078.00000000001,145.422624214548,205.610638190978,541.577541678517,521.533451559963,578.662979482619,153.455744601071,7.13898182386063,2.70806265605451,10.0936880816577,26.5867312403187,25.6027413294981,32.2293261977671,19.7250537064458,5.23089071038399,15.5917345021916,95.1784596117725,4.57107075767065,"sud"
"6","01027","Balan","84","Auvergne-Rhône-Alpes","01","Ain",2513,80,170,800,370,216,102,4.9906425452277,0,10.6051154086089,49.906425452277,23.0817217716781,15.071283095723,11.5508021390374,5.45454545454545,28.1385281385281,80.0865800865801,19.047619047619,"sud"
"7","01031","Bellignat","84","Auvergne-Rhône-Alpes","01","Ain",3632,247.581626926592,160.259277297301,380.776197967076,701.814850104309,898.205567425762,92.1017359245059,14.9857451651525,0,9.70025409292967,23.0478131132976,42.4798020246519,44.3564889897282,34.4721439421035,3.53476354773272,60.9816725159844,35.2661906579198,60.1991543567892,"sud"
"8","01032","Béligneux","84","Auvergne-Rhône-Alpes","01","Ain",3351,137,200,535,370,374,161,8.56785490931832,0,12.5078173858662,33.458411507192,23.1394621638524,47.1794871794872,16.8316831683168,7.24572457245725,43.9406430338005,72.8771640560594,26.6281945589448,"sud"
"9","01033","Valserhône","84","Auvergne-Rhône-Alpes","01","Ain",16431,1266.26443104748,746.647799485898,2591.55219629507,2701.98775095014,3271.56154375249,700.220377691659,15.4999388725303,0.232053460410484,9.13947748004521,31.7223635463856,33.0741699341648,29.6845328642361,27.1271054867751,5.80608122317145,50.7046504005927,39.7094543724178,59.9009754124783,"sud"
"10","01034","Belley","84","Auvergne-Rhône-Alpes","01","Ain",9121.99999999999,657.724128088624,320.130177805321,1314.16906029814,1209.75804784746,1916.71181287788,376.873945661566,16.445739308661,0,8.00453750164418,32.8594935934281,30.2487998110558,35.6572888153112,27.9133363296314,5.48846682555338,52.2077273281638,44.3393172148827,52.8634837868478,"sud"
"11","01043","Beynost","84","Auvergne-Rhône-Alpes","01","Ain",4684,153.685375225338,679.762236573611,458.100637690912,315.326594282338,435.680432593566,572.379506448214,6.72084646202237,0.430823491155281,29.7268208897144,20.0332923387206,13.7896115518909,55.4501249534309,13.0403631314601,17.1319069085978,21.3571804313519,80.536559705418,18.726985796949,"sud"
"12","01049","La Boisse","84","Auvergne-Rhône-Alpes","01","Ain",3230,130.755636342469,275.973028106967,401.855461980321,256.606499818759,387.551558543611,234.33499228732,8.28288339079659,0.306699389760247,17.4818652163341,25.4560493501005,16.2550676572931,43.1554245753429,16.9775901067805,10.265584949988,21.3782302270947,84.4166014095531,15.2701644479247,"sud"
"13","01053","Bourg-en-Bresse","84","Auvergne-Rhône-Alpes","01","Ain",41248,3143.33190380904,2102.45811060132,5156.6807868345,4640.81175352734,7663.50181652906,2241.40951529456,17.9072890059937,0.0379767628069691,11.9775213568476,29.377162828272,26.4383017243969,51.12058215488,25.1315458311117,7.35043682490156,60.918491071469,22.8471504688699,75.8997730240629,"sud"
"14","01071","Cessy","84","Auvergne-Rhône-Alpes","01","Ain",4843,238.964017651393,549.996576947941,883.681536545083,355.402499814394,345.124622903303,677.056200802354,8.810891740905,0,20.2790375931244,32.5824047840281,13.1041191100152,40.7101530168518,10.2363561497776,20.0814081201331,39.526800994743,53.429622875792,46.3727807508826,"sud"
"15","01072","Ceyzériat","84","Auvergne-Rhône-Alpes","01","Ain",3177,127,210,380,255,391,249,8.58108108108108,0,14.1891891891892,25.6756756756757,17.2297297297297,38.8235294117647,16.6951323654996,10.6319385140905,30.9613928841787,78.7282361847085,20.9689629068887,"sud"
"16","01074","Chalamont","84","Auvergne-Rhône-Alpes","01","Ain",2528.99999999999,112.795980767656,120.876027457832,252.288672794236,384.968892208111,427.376678193546,85.0095241430871,9.28512613288619,1.32682637541454,9.95025845557447,20.7678689688263,31.6898234942672,32.0043120495343,23.5410221308448,4.68254631404737,39.6036948224189,67.8812951641757,31.7086689628315,"sud"
